Year,Month,State,Description,Rural,Date,Inflation_Rate,Inflation
2025,January,ALL India,General Index (All Groups),101.81,2025-01-01,,
2025,February,ALL India,General Index (All Groups),101.33,2025-02-01,-0.4714664571260241,
2025,March,ALL India,General Index (All Groups),101.34,2025-03-01,0.009868745682428681,
2025,April,ALL India,General Index (All Groups),101.49,2025-04-01,0.1480165778567022,
2025,May,ALL India,General Index (All Groups),101.78,2025-05-01,0.2857424376786044,
2025,June,ALL India,General Index (All Groups),102.39,2025-06-01,0.5993318923167568,
2025,July,ALL India,General Index (All Groups),103.34,2025-07-01,0.9278249829084873,
2025,August,ALL India,General Index (All Groups),103.84,2025-08-01,0.4838397522740401,
2025,September,ALL India,General Index (All Groups),103.8,2025-09-01,-0.038520801232666546,
2025,October,ALL India,General Index (All Groups),103.85,2025-10-01,0.04816955684008306,
2025,November,ALL India,General Index (All Groups),104.16,2025-11-01,0.29850746268655914,
2025,December,ALL India,General Index (All Groups),104.19,2025-12-01,0.02880184331797153,
2026,January,ALL India,General Index (All Groups),104.59,2026-01-01,0.38391400326327485,2.730576564188203
2026,February,ALL India,General Index (All Groups),104.74,2026-02-01,0.14341715269146071,3.3652422777064928
2026,March,ALL India,General Index (All Groups),105.02,2026-03-01,0.2673286232576011,3.6313400434181853
2026,April,ALL India,General Index (All Groups),105.28,2026-04-01,0.24757189106836552,3.734358064833976
2026,May,ALL India,General Index (All Groups),106.11,2026-05-01,0.7883738601823786,4.25427392415012
2026,June,All India,General Index (All Groups),107.24,2026-06-01,1.0649326170954598,4.7367907022169975
